Funding Sentences,Funding Sources
[22]William Grant et al,[]
"Being
awarded this grant is a huge success for us, with the potential
to position Halmstad University nationally",['Halmstad University']
"CAISR ANNUAL REPORT 2020

7

Information Driven
Care - IDC
CAISR Health
In December 2020, the Knowledge
Foundation granted Halmstad University a new 8 year research profile grant:
CAISR Health","['the Knowledge\r\nFoundation', 'Halmstad University']"
"CAISR ANNUAL REPORT 2020

11

It all started in 2001 with the “innovation city”, a project funded by Vinnova (Sweden’s innovation agency) to
support HU, the municipalities, Region Halland, and industry partners in identifying a regional specialization
for Halland",[]
"They are supported by
Volvo Cars, AB Volvo, Autoliv, ZenseAct, Stena Line, Easyserv, Fysiotest, Hotswap, Jayway, Digital Reliance, InUse,
RISE Viktoria and Nibe","['Volvo Cars', 'AB Volvo', 'ZenseAct', 'Stena Line', 'Fysiotest', 'Hotswap', 'Jayway', 'Digital Reliance', 'RISE Viktoria', 'Nibe']"
"•

to fund research at smaller and mid-sized HEIs and
Sweden’s new universities (founded after the foundation was formed) in special profile areas",[]
"The program is funded by the University and the Knowledge Foundation with
support from Swedish Industry","['University', 'the Knowledge Foundation', 'Swedish Industry']"
This research was funded by SAP,['SAP']
"The work has been supported in
part by a grant from the Howard Hughes Medical Institute and
NSF grants 1504366 and 1624478","['the Howard Hughes Medical Institute', 'NSF']"
"Acknowledgments
This study was supported by National High Technology Research
and Development Program of China(863 Program, no","['National High Technology Research', 'Development Program of China(863 Program']"
"PV power, as an important mainstay of the energy transformation, is supported by the Renewable Energy Sources Act (Erneuerbare-EnergienGesetz, EEG)","['the Renewable Energy Sources Act', 'Erneuerbare-EnergienGesetz', 'EEG']"
The investment incentives for PV power generation are not supported by public funds,[]
"This interpretation is also supported by the European
Commission",['the European\r\nCommission']
"According to
the law, the levy intends to make electricity more expensive; the proceeds go principally
into the public pension fund",[]
"The large-scale construction of PV systems on arable land has not been supported by the
EEG since July 2010, resulting in the installation of such systems grounding to a halt and
new ground-mounted systems only being constructed on specific redeveloped brownfield sites or in the close vicinity of highways and railway lines",['EEG']
"The scenario showing trends for the years 2013–
2017 (from the study “Jahresprognose 2013 und Mittelfristprognose bis 2017 zur
deutschlandweiten Stromerzeugung aus EEG geförderten Kraftwerken” (“Annual forecast for 2013 and mid-term projection up to 2017 for electricity generation by power
plants supported by the EEG across Germany”)) [R2B] predicts that PV plants in Germany that operate the whole year round shall work at full load for an average of roughly
970 hours per year","['EEG', 'Kraftwerken', 'EEG']"
"Thanks to the first EPSRC
Programme Grant (2011-2015), the ITRC has developed and demonstrated the world’s first family of national infrastructure system
models (NISMOD) for analysis and long-term planning of interdependent infrastructure systems (Hall et al","['EPSRC', 'ITRC', 'Hall et al']"
"MISTRAL (Multi-scale Infrastructure Systems Analytics) is the second major ITRC project funded by the EPSRC Programme
Grant (2016-2020), whose aim is to develop and demonstrate a highly integrated analytics capability to inform strategic
infrastructure decision making across scales, from local to global","['Infrastructure Systems Analytics', 'EPSRC Programme\r\nGrant']"
"Acknowledgements
Researchers Milan Lovrić, Simon Blainey and John Preston were supported by the UK Engineering and Physical Science
Research Council under grant EP/N017064/1: MISTRAL: Multi-scale InfraSTRucture systems AnaLytics","['the UK Engineering and Physical Science\r\nResearch Council', 'EP', 'AnaLytics']"
"We thank Fisheries and Oceans
Canada and the Natural Sciences and Engineering Research Council, Discovery Grant to YS, for the collection and preparation of the datasets",['the Natural Sciences and Engineering Research Council']
"Acknowledgements
This work was supported by a grant of the Romanian National Authority for Scientific
Research and Innovation, CNCS/CCCDI – UEFISCDI, project number PN-III-P2-2","['the Romanian National Authority for Scientific\r\nResearch and Innovation', 'UEFISCDI']"
"com/community/sas-analytics-u
(About SAS software grant event to the Lab on 9 April 2014, from Utility Analytics Institute)","['SAS', 'Utility Analytics Institute']"
"You may already be aware of these site, but you can read about research driven by
SunShot, and activities at places which have been funded by SunShot (e",[]
"Michael Graff, Member of the Air Liquide Group’s Executive Committee and Executive Vice-President for
the Americas, said: “Air Liquide’s investment in the world’s largest hydrogen storage cavern is
supported by the strength of the refining and petrochemicals markets along the U",['the Air Liquide Group’s Executive Committee']
"BENEFITS OF DIGITALIZATION
By monitoring information on utilisation of
distribution segments which have DSM in place,
it is possible to grant such switching if voltage/
thermal standards do not become breached as
a direct consequence",['DSM']
"The levelised cost of energy (LCOE) of solar PV
has fallen by more than 60% between 2010 and 2016 based on

IMF
IPCC
IRENA
LCOE
MW
OCGT
PHEV
PHS
PtL
PtX
PV
RE
SDGs
SNG
TPED
TW
USD
WEO

International Monetary Fund
International Panel on Climate Change
International Renewable Energy Agency
Levelised Cost of Electricity
Megawatt
Open Cycle Gas Turbine
Plug-in Hybrid Electric Vehicle
Pumped Hydroelectric Storage
Power-to-Liquids
Power-to-X
Photovoltaics
Renewable Energy, partly used in the sense of
Renewable Electricity
Sustainable Development Goals
Synthetic Natural Gas
Total Primary Energy Demand
Terawatt
Unites States Dollar
World Energy Outlook (ﬂagship report of the IEA)

preliminary data; moreover, solar PV achieved highly competitive
levels at the utility-scale across the world (IEA-PVPS, 2017)","['MW', 'PHEV', 'TW', 'WEO\r\n\r\n', 'International Monetary Fund\r\n', 'International Panel on Climate Change\r\nInternational Renewable Energy Agency', 'World Energy Outlook', 'IEA', 'PV']"
"[IMF] - International Monetary Fund, 2017",['International Monetary Fund']
"This work was partly funded by the German Federal
Environment Foundation (DBU)",['the German Federal\r\nEnvironment Foundation']
"iii

ACKNOWLEDGEMENTS

This research was supported by National Oceanic and Atmospheric Administration grant
NA14OAR4320125, Amendment 26, National Science Foundation grant ACI-1450089, and National
Aeronautics and Space Administration grant NNX15AD11G","['National Oceanic and Atmospheric Administration', 'National Science Foundation', 'National\r\nAeronautics and Space Administration']"
"This research was supported by
ENGIE Lab CRIGEN, EPSRC and the University of Cambridge",['the University of Cambridge']
"org and
is fully funded by Qatar Foundation, a non-profit organization in the State of Qatar",['Qatar Foundation']
"Funding
This work was fully funded by Qatar Foundation, a non-profit organization in
the State of Qatar","['Qatar Foundation', 'State']"
"This work was supported by the
andLLC,
Renewable
Energy,
operatedofbyEnergy
the Alliance
for Sustainable
Energy,
LLC","['Renewable\r\nEnergy', 'Sustainable\r\nEnergy', 'LLC']"
"This work was financed by the Virtual Institute of
Energy Meteorology (vIEM), supported by the ‘‘Impulsund Vernetzungsfond’’ of the Helmholtz Foundation","['the Virtual Institute of\r\nEnergy Meteorology', 'the ‘‘Impulsund Vernetzungsfond', 'the Helmholtz Foundation']"
"This work was supported by the national project of the
Program on Open Innovation Platform with Enterprises, Research Institute and
Academia (OPERA) from the Japan Science and Technology Agency (JST)
under Grant JPMJOP1614","['Enterprises, Research Institute', 'OPERA', 'the Japan Science and Technology Agency', 'JST', 'Grant']"
"1 consists of a CS-gear
supported by a holder and two driving modules of an MP-gear",['CS']
"For the Planning Assessment, the Near-Term Transmission Planning Horizon portion
of the steady state analysis shall be assessed annually and be supported by current
annual studies or qualified past studies as indicated in Requirement R2, Part 2","['the Planning Assessment', 'the Near-Term Transmission Planning Horizon']"
"For the Planning Assessment, the Long-Term Transmission Planning Horizon portion
of the steady state analysis shall be assessed annually and be supported by the
following annual current study, supplemented with qualified past studies as indicated
in Requirement R2, Part 2","['the Planning Assessment', 'the Long-Term Transmission Planning Horizon']"
"The short circuit analysis portion of the Planning Assessment shall be conducted
annually addressing the Near-Term Transmission Planning Horizon and can be
supported by current or past studies as qualified in Requirement R2, Part 2","['the Planning Assessment', 'the Near-Term Transmission Planning Horizon']"
"For the Planning Assessment, the Near-Term Transmission Planning Horizon portion
of the Stability analysis shall be assessed annually and be supported by current or past
studies as qualified in Requirement R2, Part2","['the Planning Assessment', 'the Near-Term Transmission Planning Horizon', 'Stability']"
"For the Planning Assessment, the Long-Term Transmission Planning Horizon portion
of the Stability analysis shall be assessed to address the impact of proposed material
generation additions or changes in that timeframe and be supported by current or past
studies as qualified in Requirement R2, Part2","['the Planning Assessment', 'the Long-Term Transmission Planning Horizon', 'Stability']"
"Acknowledgements
The ENVISOLAR project is funded by the European Space Agency (ESA) under contract no","['ENVISOLAR', 'the European Space Agency', 'ESA']"
"Igor
Granado has benefited from a PhD grant from the IKERTALENT Programme of the Department of Economic Development and Infrastructures of the Basque Government","['Igor\r\nGranado', 'the IKERTALENT Programme of the Department of Economic Development and Infrastructures', 'the Basque Government']"
"Fernandes’ work has received
funding from the European Union’s Horizon 2020 research and innovation programme under grant agreements No 869353 (SusTunTech)
and No 869300 (FutureMARES)",['the European Union’s Horizon 2020']
"Leticia Hernando is supported by the
Spanish Ministry of Economy and Competitiveness MINECO (PID2019106453GA-I00/AEI/10",['the\r\nSpanish Ministry of Economy and Competitiveness MINECO']
"The subsidising program comprises financial support for purchasing maximum two vehicles
for one applicant",[]
"This research work has been conducted as part of the research activity within
the EMISys research team at the Turbomachinery Lab with the financial support the institutions
of Mohammadia School of Engineers and Mohammed V University in Rabat","['Mohammadia School of Engineers', 'Mohammed V University']"
"The databases used were Scopus and Web of Science
database, the bibliometric analysis supported by literature review was conducted",[]
"There is also another definition within this category, much less supported by the
literature than the previous one, according to which the EP of companies is assessed
according to its compliance and adherence to current environmental legislation [10]",[]
"This work was supported by the Ministry of Higher Education, Scientific
Research and Innovation, the Digital Development Agency (DDA), and the CNRST of Morocco
(Alkhawarizmi/2020/39)","['the Ministry of Higher Education', 'Scientific\r\nResearch and Innovation', 'the Digital Development Agency', 'CNRST']"
"This work was supported by the Ministry of Higher Education, Scientific
Research and Innovation, the Digital Development Agency (DDA) and the CNRST of Morocco
(Alkhawarizmi/2020/39)","['the Ministry of Higher Education', 'Scientific\r\nResearch and Innovation', 'the Digital Development Agency', 'CNRST']"
"This work was supported by the Ministry of Higher Education, Scientific
Research and Innovation, the Digital Development Agency (DDA) and the CNRST of Morocco
(Alkhawarizmi/2020/39)","['the Ministry of Higher Education', 'Scientific\r\nResearch and Innovation', 'the Digital Development Agency', 'CNRST']"
"The variation in the pricing tariﬀs depends on the peak load because of high power demand in a particular
Supported by organization x",[]
"This work was supported by the Ministry of Higher Education,
Scientiﬁc Research and Innovation, the Digital Development Agency (DDA) and the
CNRST of Morocco (Alkhawarizmi/2020/39)","['the Ministry of Higher Education', 'Scientiﬁc Research and Innovation', 'the Digital Development Agency']"
"This work was supported by the Ministry of Higher Education, Scientific
Research and Innovation, the Digital Development Agency (DDA) and the CNRST of Morocco
(Alkhawarizmi/2020/39)","['the Ministry of Higher Education', 'Scientific\r\nResearch and Innovation', 'the Digital Development Agency', 'CNRST']"
"The integration of a battery energy storage system (BESS) into the DC side of
the converter makes it feasible for a STATCOM to give active power supported by
the network [4]",[]
"Acknowledgement
This paper was produced as part of a research program supported by the Australian Government through the Australian

A",['the Australian Government']
"[61] Maklad Y, Glencross-Grant R",[]
"Acknowledgements
The results presented have been generated as part of two projects: ‘Improved Wind Power Prediction’ sponsored by the Danish PSO fund (PSO 5766) and Anemos partly funded by the European Commission (ENK5CT2002–00665), which are hereby greatly acknowledged",['the European Commission']
"Grant, S",[]
"Grant, C",[]
"Nevertheless, the fact that TPOT is supported by contributions from the opensource community—as well as the continued development of more streamlined neural computing interfaces (such as Keras)—suggests that these barriers will prove less
challenging to handle in the future",['TPOT']
"Ratio (%)

FUEL routings
4
3
2
1
0
-1
-2
-3
-4
-5
-6
-7
-8

139

Fuel Consumption
Voyage Distance
ATA

The authors would like to express their thanks to the Ministry
of Science and Technology, Taiwan for a grant under Contract No",['the Ministry\r\nof Science and Technology']
"The partial support
coming from the International Wave Dynamics Research Center
(IWDRC), National Cheng Kung University, for a grant under Contract No","['the International Wave Dynamics Research Center', 'National Cheng Kung University']"
"To assist this policy, the European Regional Development
Fund decided to support transport infrastructure development in lagging
regions from 1975 onwards",['the European Regional Development\r\nFund']
"All
this is supported by the adoption of lean logistics where business process
reengineering techniques have a crucial role; the objective is to streamline all
port processes so that they are made up of activities that either create value or
that support the first ones",[]
"developed an hourly forecasting tool, a comparison
between predicted and measured on a daily total basis as

This research was supported by ARC Discovery Grant
DP0987148, ‘Strategic integration of renewable energy systems into the electricity grid’, Linkage Grant LP0884005,
‘Unlocking the grid: the future of the electricity distribution network’, and Australian Solar Institute Grant, ‘Forecasting and characterizing grid connected solar energy and
developing synergies with wind’","['ARC', 'Australian Solar Institute Grant']"
"Kennedy, Speech to United Negro College Fund
In spite of continued improvement in the energy efficiency of computing equipment
over the past decade, data centres continue to consume more and more energy","['Speech', 'United Negro College Fund']"
"Migration is widely supported by virtual machine managers and enables virtual
machines to be relocated to other physical machines",[]
"The types of emission reduction projects supported by the protocol were outlined, addressing improvements to data centre efficiency as well as other
measures to improve the efficiency with which workload is processed",[]
"Alonso-Suárez acknowledges partial financial support by CSIC, Udelar, Uruguay",['CSIC']
"Acknowledgements
Support was by the Office of Naval Research, Grants N00014-05-1-0483 and N00014-10-0786
and by NOAA Grant NA06NOS4780246","['the Office of Naval Research', 'NOAA']"
"ACKNOWLEDGMENT
This work was supported by the Human Resources Development
Program of the Korea Institute of Energy Technology Evaluation and
Planning (KETEP) grant, which is funded by the Ministry of Trade,
Industry and Energy","['the Human Resources Development\r\nProgram', 'the Korea Institute of Energy Technology Evaluation', 'the Ministry of Trade', 'Industry and Energy']"
"• Default enablement of Volt-Var functionality, supported by Volt-WattA",['Volt-Var']
"Allowing for some additional loss of distributed PV systems more
remote from the fault (and supported by the data from monitored sites), this is broadly consistent with the
150 MW estimate of distributed PV loss, based on measurements of total regional demand",['MW']
"Grid support

Voltage and reactive power
control

• Default enablement of Volt-Var functionality,
supported by Volt-WattA",['Volt-Var']
"This means load models must be adaptable by time of day and season, supported by accurate information on
load composition at different times and locations",[]
"This
study was ﬁnancially supported by Grant-in-Aid for Early-Career
Scientists ‘19K15251’ (2019–2021, represented by Chen Chen),
Scientiﬁc Research (B) (2016–2018, represented by Kenji Sasa) and
Fostering Joint International Research (B) (2018–2022, represented by
Kenji Sasa) under Grants-in-Aid for Scientiﬁc Research, Japan Society
for the Promotion of Science","['Grant-in-Aid for Early-Career\r\nScientists ‘19K15251’ (', 'Scientiﬁc Research', 'Fostering Joint International Research', 'Japan Society', 'the Promotion of Science']"
"This study was also supported by the
Croatian Science Foundation under the project IP-2018-01-3739","['the\r\nCroatian Science Foundation', 'IP-2018-01-3739']"
"Funding: This research and the APC were funded by Deputyship for Research & Innovation, Ministry
of Education in Saudi Arabia for funding this research work through the project number INST156","['APC', 'Deputyship for Research & Innovation', 'Education']"
"Another example is Norway, where a tax on NOx emissions from
industry (including maritime transport) was complemented by a NOx
fund, which is a non-governmental initiative",[]
"Entering into the fund,
which is optional, means that firms are exempted from paying the tax
and can instead pay a membership fee that is proportional to its emis­
sions (Hagem, Holtsmark, & Sterner, 2012)","['Hagem, Holtsmark']"
"The revenue gathered by
the fund is subsequently delivered back to its members, through the
financing of specific NOx-reducing measures",[]
"In order to manage the transition, AEMO asked the Australian Renewable Energy
Agency (ARENA) to fund projects to help the wind and solar farms improve their forecast
capabilities",['the Australian Renewable Energy\r\nAgency']
"kr)
This work was supported by the National Research Foundation of Korea Grant funded by the Korea Government (MSIP) under
Grant 2016R1A2B4011712","['the National Research Foundation', 'the Korea Government']"
"Funded by Fundación BBVA View project

All content following this page was uploaded by Dolores Romero Morales on 10 December 2020",[]
"This research has been financed in part by research projects EC H2020
MSCA RISE NeEDS (Grant agreement ID: 822214), FQM-329 and P18-FR-2369 (Junta de
Andalucı́a), and PID2019-110886RB-I00 (Ministerio de Ciencia, Innovación y Universidades,
Spain)","['EC', 'P18-FR-2369', 'Junta de\r\nAndalucı́a']"
"VHSIC is itself an abbreviation for
Very High Speed Integrated Circuits, an initiative funded by the
United States Department of Defence in the 1980s that led to the
creation of VHDL [64]","['VHSIC', 'Department of Defence', 'VHDL']"
"Acknowledgments
This work was supported by the TWAS under grants (Ref",[]
"The authors gratefully
acknowledge financial support from the MIT Deshpande center for numerical innovation, the Intel
Technology Science Center for Big Data, the DARPA Xdata program, the Singapore MIT Alliance,
NSF Awards CCF-0832997 and DMS-1016125, VMWare Research, a DOE grant with Dr","['Intel', 'DARPA Xdata', 'the Singapore MIT Alliance', 'NSF', 'CCF-0832997 and DMS-1016125', 'VMWare Research', 'DOE']"
"Andrew
Gelman of Columbia University for petascale hierarchical modeling, grants from Aramco oil thanks
to Ali Dogru and Shell oil thanks to Alon Arad, and a Citibank grant for High Performance Banking
Data Analysis, and the Gordon and Betty Moore foundation","['Aramco', 'Shell', 'Citibank']"
"The interview approach was semi-structured and the interviews were
conversations with focus on qualitative discussions but supported by a guideline",[]
", 2008) In this
study the external validity is supported by multiple case studies that ensure that the results are
trustworthy and valid enough to be generalized across other ship operating companies",[]
"The semi-structured interviews might give rise to issues relating to reliability as the results are
not completely consistent, however, this approach was used because it grant more positive
than negative effects in a qualitative study",[]
"In intermodal transport the interception points (reloading docks, ports,
warehouses) along the transport route must be supported by sufficient and purpose-adapted
infrastructure, as well as equipped accordingly, to ensure a smooth flow of goods throughout
the supply chain",[]
"%1-*<()G,%%
The European short-sea network (ESN) is formed in collaboration between all national shortsea promotion centers and is supported by the EC´s Directorate General for Energy and
Transport","['ESN', 'the EC´s Directorate General for Energy']"
"com
Funding information
2021-SCU-Suining, Grant/Award Number:
2021CDSN-12

1

Yanyan Li

Lin Gao

Xiaoqiu Shi

Abstract
The density-based spatial clustering of application with noise (DBSCAN) algorithm has
good robustness and is widely employed to cluster vehicle trajectories for vehicle movement pattern recognition",['Grant/Award']
"ACKNOWLEDGEMENTS
This work was supported by 2021-SCU-Suining Project
No",[]
"This research
was supported by NIH (DP2-DC016163), the New York Stem Cell Foundation
(NYSCF-R-NI40), the Alfred P","['NIH', 'the New York Stem Cell Foundation', 'Alfred P']"
"acknowledges the financial support for this research provided by the
Department of Science and Technology, India under the INSPIRE faculty
scheme (DST/INSPIRE/04/2016/002774) and DST SERB Early Career Award
(ECR/2018/002228)","['the\r\nDepartment of Science and Technology', 'INSPIRE', 'DST/INSPIRE/04/2016/002774']"
"Wind ramp predictions might be improved by exploring the specific weather
patterns that accompany wind ramps (Grant et al",[]
"Holding additional reserves is costly because the generation units run and consume
fuel when they are not needed to produce electricity (Grant et al",[]
"A small error in the wind
speed forecast can generate a larger error in the wind power forecast (Grant et al",[]
2012; Grant et al,[]
2010; Grant et al,[]
"A typical wind power forecasting methodology
combines NWP and statistical methods (Grant et al",['NWP']
"1

Wind Ramp Definitions

Wind ramps are defined as changes of wind power generation exceeding a
minimum percentage of the rated power within a short period of time (Grant et al",[]
Grant et al,[]
"Grant, W",[]
"Acknowledgements
This work was mainly funded by Innovationsfonden through the
CITIES project (nr",[]
"Additional contributions were made possible by the United Kingdom’s Engineering and Physical Sciences
Research Council (EPSRC) FlexTECC Innovation Fellowship (grant EP/
S001670/1)",[]
"Access to the cells is handled
by multiplicative gate units, which learn when to grant access",[]
"During the time 2013–15 it was
partially supported by post-doctoral fellowship research funds provided by the
South African National Research Foundation, Rhodes University, the University
of South Africa, and the University of Passau","['National Research Foundation', 'Rhodes University', 'the University of Passau']"
"01-14-011/08-00
(“The impact of climate change on the environment,
economy and society”) supported by the Programme
Innovative Economy under the National Strategic
Reference Framework, which is co-financed with
EU resources","['the Programme\r\nInnovative Economy', 'EU']"
"ACKNOWLEDGEMENTS
This work was supported by The Programme Innovative Economy under National Strategic Reference
Framework, co-financed from EU resources","['The Programme Innovative Economy under National Strategic Reference\r\nFramework', 'EU']"
"Project
KLIMAT
under grant No POIG",[]
"Informational content allowed to grant them class
from „Coastal” till „Approach”",[]
"One of the SHM systems was installed on CB32A
steel jacket platform in Bohai under the project supported by the National Hi-tech Research and Development Program of China","['SHM', 'the National Hi-tech Research and Development Program of China']"
"ACKNOWLEDGEMENTS
This research was partially supported by Monitoring
of Technical State of Construction and Evaluation of
Its Life-span (MONIT in polish) project which was
co-financed by the European Regional Development
Fund under the Innovative Economy Operational
Programme","['Technical State of Construction and Evaluation', 'the European Regional Development\r\nFund', 'the Innovative Economy Operational\r\nProgramme']"
"The research work disclosed in this publication is
partially funded by the Strategic Educational Pathways Scholarship Scheme (Malta)",['the Strategic Educational Pathways Scholarship Scheme']
"The scholarship
is part-financed by the European Union - European
Social Fund",['the European Union - European\r\nSocial Fund']
"AKNOWLEDGMENT
The results presented in the paper have been derived
from the scientific project ""New technologies in Diagnosis and Control of Marine Propulsion Systems""
supported by the Ministry of Science, Education and
Sports of the Republic of Croatia","['the Ministry of Science, Education']"
"1 SYMBOLS
A,B,C,D,E,F-ingoing signals,
AI-Artificial Intelligence,
ICS-inverse Control System,
LNAS-Logical Network Analysis System,
LNA-Logical Network Analysis,
U-input vector
Y-outgoing signals,
-union mechanism,
-intersection mechanism,
a mechanism which negates each impulses
2 LOGICAL NETWORK OF IMPULSES IN
SLIDE JOURNAL BEARING SYSTEM
Artificial intelligence supported by the logical network of data transmission impulses includes in a
new technologies industry, and in many of the most
difficult problems connected with optimum strategy
of computer science program performances [1],[2]","['F', 'AI-Artificial Intelligence', 'ICS', 'Control System', 'LNAS-Logical Network Analysis System', 'LNA-Logical Network Analysis']"
"8 CONCLUSIONS
Results obtained in this paper in the field of logical
network analysis for data transmission impulses during journal bearing design presented in graphical
form as a mathematical set theory implementation
constitute a new convenient tools of artificial intelli-

ACKNOWLEDGEMENT
This paper was supported by Polish Ministerial
Grant 3475/B/T02/2009/36 in years 2009-2012",[]
"of Technology,
GRANT UNI EU: MTKD-CT-2004-517226
[8] Wierzcholski K",['UNI EU']
"This is
supported by calculating values for the skewness and
excess kurtosis of the empirical datasets",[]
"The main driving idea of the model presented in
this paper is the societal trend towards science-based
risk-informed decision making, an idea supported by
organizations such as the IMO or IALA",['IMO']
"ACKNOWLEDGEMENTS
The study was conducted as a part of SAFGOF and
CAFE projects, financed by the European Union European Regional Development Fund - Regional
Councils of Kymenlaakso and Päijät-Häme, the City
of Kotka, Kotka-Hamina regional development
company Cursor Ltd","['SAFGOF', 'the European Union European Regional Development Fund - Regional\r\nCouncils of Kymenlaakso', 'Cursor Ltd']"
"The person who is
responsible for such a monitoring is Director of the
Maritime Office in Gdynia who has at command
TURBOLET airplane which can be supported by
Navy planes [1]","['Maritime Office', 'TURBOLET', 'Navy']"
This work supported by Kawasaki Heavy Industries Co,['Kawasaki Heavy Industries Co']
"ACKNOWLEDGEMENT
This study was supported by KHI JPS Co",['KHI JPS Co']
"Financial support:
Ministerio de Fomento (2009 - 2013)",[]
"Funding
This work was supported by the Research Council of Norway as part of the project ‘CARGOMAP: Mapping vessel
behaviour and cargo flows’ [grant number 239104]",['the Research Council of Norway']
The Twentieth Century Fund,['The Twentieth Century Fund']
"The research leading to these results has
also received funding from the European Community’s Seventh
Framework Programme FP/2007-2011 under grant agreement no
212520",['the European Community’s']
"The authors wish to thank and acknowledge the support for this work from the European Commission, Regional Development Fund, Interreg IVB North Sea Region Programme, 2007–
2013 and the Engineering and Physical Science Research Council, UK","['the European Commission', 'Regional Development Fund', 'the Engineering and Physical Science Research Council']"
"In the end, I am forever grateful for the opportunity provided by the Electrical
and Computer Engineering Department and the Graduate Assistant Support Plan
(GASP) for the financial support over the past few years, which allowed me to pursue
my Ph",['Computer Engineering Department']
"The massive hedge fund betting on
ai",[]
"com/
news/features/2017-09-27/the-massive-hedge-fund-betting-on-ai",[]
The work by Daniel Molzahn was supported by the U,[]
The work by Ian Hiskens was supported by the U,[]
"National Science
Foundation through the grant CNS-1238962, “Foundations of Resilient
Cyber-Physical Systems”",['National Science\r\nFoundation']
Grant and S,[]
"; “The Norwegian NOx Fund – how does it work and results so far,”
Næringslivets NOx-fond, 11 April 2013
7",['The Norwegian NOx Fund']
"In many schemes, the taxes are collected in a fund that is reinvested to offset the cost reducing
emissions",[]
An example of this in the maritime industry is the Norwegian NOx fund,[]
"The fund, which
supports up to 80% of the cost of projects, has invested heavily in such technology as LNG for
ship propulsion",['LNG']
"In its first five years the fund had supported conversion or construction of over
50 LNG vessels bringing the total up from only 3 LNG vessels in 2008 [Ref","['LNG', 'LNG']"
"Some proposals seek to generate large sums of money from shipping
that would, in theory, purchase carbon ""offsets"" and fund other activities in other landbased sectors",[]
"Book Review

The IEEE Industry Applications Society, IEEE Industrial Electronics Society,
IEEE Power Electronics Society, and
PES sponsor the prestigious IEEE Medal in Power Engineering","['The IEEE Industry Applications Society', 'IEEE Industrial Electronics Society', 'IEEE Power Electronics Society', 'PES', 'IEEE Medal in Power Engineering']"
"Acknowledgments
This work was supported by the Korea Electric Power
Corporation (grant R17XA05-4)","['the Korea Electric Power\r\nCorporation', 'R17XA05-4']"
"This work was also
supported by the “Human Resources Program in Energy
34

ieee power & energy magazine

Technology” of the Korea Institute of Energy Technology
Evaluation and Planning, granted financial resource from
the Ministry of Trade, Industry & Energy, the Republic of
Korea (20194030202420)","['the “Human Resources Program in Energy', 'power & energy', 'the Korea Institute of Energy Technology\r\nEvaluation and Planning', 'the Ministry of Trade, Industry & Energy']"
"Zhang was supported by the MOE AcRF Tier 1 Funding under
Grant M4011261",['MOE']
"PeS is a financially healthy Society
with a reserve fund of approximately
US$18 million","['PeS', 'Society']"
"A special PeS distinguished Scholar endowment fund of US$5 million was established in 2018 from contributions made
in 2016, 2017, and 2018",['PeS']
"Acknowledgment
this work was supported by the German federal ministry for economic affairs and energy for the project
netZ:Kraft (fKZ: 0325776J)",['Kraft']
"com/3alexd

1540-7977/18©2018IEEE

november/december 2018

By Jairo Quirós-Tortós,
Luis (Nando) Ochoa, and Timothy Butler
January 2013 to december 2015 and was subsidized by the Low carbon networks fund along
with partners from industry, dnos, and academia",[]
"this work was supported by the national
research Foundation of Korea, funded by the South Korean
government (MSIP) (grant 2015r1a2a1a10052459)",['the national\r\nresearch Foundation of Korea']
"He conceived the
principle in europe, but his failure to
elicit interest on the part of potential investors led to his emigration to america
and a search for financial support in
new york",[]
"T

This work was supported in part by the Grant-in-Aid for Scientific
Research (B) (21360127)",[]
"ACKNOWLEDGMENT
This work was partially supported by Grant-in-Aid for
Scientific Research(B), No",['Grant-in-Aid']
"Acknowledgements
This work was supported by a scholarship funded by the Nigerian
National Petroleum Corporation, NG, the TU Delft AI Labs Programme,
NL, and the research project IDLES, Engineering and Physical Sciences
Research Council, UK (EP/R045518/1)","['NG', 'TU', 'NL', 'Engineering and Physical Sciences\r\nResearch Council']"
"Acknowledgements
PAH is partially supported by an ESA/Prodex grant administered by Enterprise Ireland and a
European Commission Framework Programme 7 grant (HELIO)","['PAH', 'ESA', 'European Commission Framework Programme']"
"DSB is supported by a Marie
Curie Intra-European Fellowship (IEF) for Career Development funded under the European
Commission's Seventh Framework Programme (FP7)","['DSB', 'IEF', 'Career Development', ""the European\r\nCommission's"", 'Seventh Framework Programme']"
"Acknowledgments
This work was supported by the Dean of Scientiﬁc Research of
Taibah University under Project number: 431/613","['the Dean of Scientiﬁc Research', 'Taibah University']"
"The attack prediction method is supported by data mining, which is a recent trend in
the field of attack prediction, which overcomes the dependence on inputs by a human expert",[]
"This approach supported by the Article
29 working party [47] and also by the Court of Justice of the European Union case laws (Scarlet case No","['the Court of Justice', 'the European Union', 'Scarlet']"
"Methods that are only supported by machine learning or data mining are discussed
in other sections",[]
"However, the proposed
approaches are rarely supported by experimental evaluation and, thus, provide limited value for security
practitioners",[]
"As we are going to show, the cooperation of honeypots and network monitoring
supported by information exchange and alert sharing allows for automating detection and reaction to
complex attacks by observing particular events at a different location that together fold a larger event",[]
"To conclude this experiment, we have empirically evaluated the possibilities of cyber attack prediction
based on information exchange and supported by data mining",[]
"Alert correlation supported by data mining, attack projection and prediction, and evaluation of the overall
security situation will probably stay as an interesting research topic as we are constantly facing novel
threats, attack vectors, and attack patterns",[]
"[12]

ACKNOWLEDGMENTS
This work was supported by the U",[]
