Limits Sentences,Generalized Limit Sentences
proposed a parallel implementation of FA with predation and applied it to the inverse heat conduction problem [34],['A limitation: proposed a parallel implementation of FA with.']
Another related issue is how new solutions can be generated,['A limitation: Another related issue is how new solutions.']
"For neighborhood, it is an even more challenging issue in combinatorial optimization","['A limitation: For neighborhood , it is an even.']"
"For example, to solve the traveling salesman problem, a neighborhood solution can
be a local solution generated by swapping two links between four cities, the so-called
2-opt move [38]","['A limitation: For example , to solve the traveling.']"
"solved the non-convex economic dispatch problem
with valve-loading effect using FA and achieved the best results over other methods
[54]",['A limitation: solved the non - convex economic dispatch.']
"Jati and Suyanto solved the well-known traveling salesman problem by discrete FA, whereas Yousif et al",['A limitation: Jati and Suyanto solved the well -.']
"Application of the firefly algorithm for solving the economic
emissions load dispatch problem",['A limitation: Application of the firefly algorithm for solving.']
"Network and reliability constrained unit commitment
problem using binary real coded firefly algorithm",['A limitation: Network and reliability constrained unit commitment \r\n.']
"Implementation of a discrete firefly algorithm for the QAP problem within the sage framework, B",['A limitation: Implementation of a discrete firefly algorithm for.']
Evolutionary discrete firefly algorithm for traveling salesman problem,['A limitation: Evolutionary discrete firefly algorithm for traveling salesman.']
"Firefly algorithm with predation: a parallel
implementation applied to inverse heat conduction problem",['A limitation: Firefly algorithm with predation : a parallel.']
"Discrete cuckoo search algorithm for the travelling
salesman problem",['A limitation: Discrete cuckoo search algorithm for the travelling.']
"Economic load dispatch problem with reduce power losses using firefly
algorithm",['A limitation: Economic load dispatch problem with reduce power.']
"For a
maximization problem, the quality or fitness of a solution can simply be proportional
to the value of the objective function","['A limitation: For a \r\n maximization problem , the.']"
"3)

Here α > 0 is the step size scaling factor, which should be related to the scales of
the problem of interest",['A limitation: 3 ) \r\n\r\n Here α > 0.']
"In most cases, we can use α = O(L/10), where L is the
characteristic scale of the problem of interest, whereas in some cases α = O(L/100)
can be more effective and avoid flying too far","['A limitation: In most cases , we can use.']"
1 Pseudo code of the cuckoo search for a minimization problem,['A limitation: 1 Pseudo code of the cuckoo search.']
"For globally optimal solution gb for an optimization problem < , f >, the optimal
state set is defined as R = {y = (x, g)| f (g) = f (gb ), y ∈ Y }",['A limitation: For globally optimal solution gb for an.']
"For the globally optimal solution gb to an optimization problem < , f >, the
optimal group state set can be defined as
H = {q = (y1 , y2 ,",['A limitation: For the globally optimal solution gb to.']
"[3] solved a six-bar double dwell linkage problem using CS, and Moravej
and Akhlaghi [16] solved the DG allocation problem in distribution networks with good
convergence rate and performance",['A limitation: [ 3 ] solved a six -.']
"Cuckoo search algorithm: a metaheuristic
approach to solving the problem of optimum synthesis of a six-bar double dwell linkage",['A limitation: Cuckoo search algorithm : a metaheuristic \r\n.']
"Multi-objective scheduling problem: hybrid appraoch using
fuzzy assisted cuckoo search algorithm",['A limitation: Multi - objective scheduling problem : hybrid.']
"Discrete cuckoo search algorithm for the travelling salesman problem, Neural Computing and Applications; in press",['A limitation: Discrete cuckoo search algorithm for the travelling.']
"For a given problem, we can also use any wavelength for the ease of implementation","['A limitation: For a given problem , we can.']"
"Because the product λi f i is a constant, we can use f i
(or λi ) to adjust the velocity change while fixing the other factor λi (or f i ), depending
on the type of the problem of interest","['A limitation: i is a constant , we can.']"
"In our implementation, we use f min = 0 and
f max = O(1), depending on the domain size of the problem of interest","['A limitation: In our implementation , we use f.']"
"Obviously, σ should be linked
to the scalings of the design variables of an optimization problem under consideration","['A limitation: Obviously , σ should be linked \r\n.']"
"It can also be
applied to carry out parameter estimation as an inverse problem",['A limitation: It can also be \r\n applied to.']
"If an inverse problem
can be properly formulated, BA can provide better results than least-squares methods
and regularization methods",['A limitation: If an inverse problem \r\n can be.']
"For example, in the traveling salesman problem,
the distance between two adjacent nodes or cities can easily be coded as the time
delay","['A limitation: For example , in the traveling salesman.']"
"Bat-inspired optimization approach for the brushless
DC wheel motor problem",['A limitation: Bat - inspired optimization approach for the.']
"Bat algorithm with global convergence for solving large-scale
optimization problem",['A limitation: Bat algorithm with global convergence for solving.']
"Solving multi-stage multi-machine multi-product scheduling
problem using bat aglorithm",['A limitation: Solving multi - stage multi - machine.']
"Common approaches
are to provide good approximations to the true Pareto fronts of the problem of interest so
that decision makers can rank different options, depending on their preferences or their
utilities [1,5,15]",['A limitation: Common approaches \r\n are to provide good.']
"In fact, a higher-dimensional problem can
have an extremely complex hypersurface as its Pareto front [11,20]","['A limitation: In fact , a higher - dimensional.']"
"3

Multi-Objective Flower Pollination Algorithms

A multi-objective optimization problem with m objectives can be written in general as
Minimize f 1 (x), f 2 (x),",['A limitation: 3 \r\n\r\n Multi - Objective Flower Pollination.']
", wm ), the optimization process will produce a single point of the Pareto
front of the problem","['A limitation: , wm ) , the optimization process.']"
"It has been proved that the solutions to
the problem with the combined objective (11",['A limitation: It has been proved that the solutions.']
"10) are Pareto-optimal if the weights are
positive for all the objectives, and these are also Pareto-optimal to the original problem
(11",['A limitation: 10 ) are Pareto - optimal if.']
"To validate
the proposed MOFPA, a subset of these functions with convex, nonconvex, and discontinuous Pareto fronts has been selected, including seven single-objective test functions,
four multi-objective test functions, four mono-objective design benchmarks, and a
bi-objective design problem","['A limitation: To validate \r\n the proposed MOFPA ,.']"
"383

a This solution is not valid because the solution violates constraint g",['A limitation: 383 \r\n\r\n a This solution is not.']
"For multi-objective optimization, MOFPA will be used
to solve a disc brake design problem [6,14]","['A limitation: For multi - objective optimization , MOFPA.']"
"A standard
spring design problem has three design variables: the wire diameter d, the mean coil
diameter D, and the length (or number of coils) L (integer)",['A limitation: A standard \r\n spring design problem has.']
"This problem can be written compactly as
Minimize f (x) =

π(L + 2)d 2 D
,
4

subject to
8C f Pmax D
−S≤0
3",['A limitation: This problem can be written compactly as.']
"Further, L can only be integers; thus this
problem becomes a mixed-variable optimization problem","['A limitation: Further , L can only be integers.']"
"2

Welded Beam Design

The so-called welded beam design is a standard test problem for constrained design
optimization [2]",['A limitation: 2 \r\n\r\n Welded Beam Design \r\n\r\n The.']
"The problem has four design variables: the width w and length L of
the welded area, the depth h, and the thickness h of the main beam",['A limitation: The problem has four design variables :.']
"The problem can
be written as
Minimize f (x) = 1",['A limitation: The problem can \r\n be written as.']
"3

Speed Reducer Design

The optimal design of a speed reducer or a gearbox is another benchmark design
problem with seven design variables [2]: the face width (b), module of the teeth (h),

168

Nature-Inspired Optimization Algorithms

the number of teeth on pinion (z), the length (L 1 ) of the first shaft between bearing, the
length (L 2 ) of the second shaft between bearings, the diameter (d1 ) of the first shaft,
and the diameter (d2 ) of the second shaft",['A limitation: 3 \r\n\r\n Speed Reducer Design \r\n\r\n The.']
"This optimization problem can be written as [20]
f (b, h, z, L 1 , L 2 , d1 , d2 ) = 0",['A limitation: This optimization problem can be written as.']
"This is a well-known test problem for optimization algorithms
and can be written as
minimize f (x) = 0",['A limitation: This is a well - known test.']
0625; thus this essentially leads to a mixed-variable optimization problem,['A limitation: ; thus this essentially leads to a.']
"This bi-objective design problem can be written as
Minimize f 1 (x) = 4",['A limitation: This bi - objective design problem can.']
"In general, MOFPA has to be extended
in combination with constraint-handling techniques so as to deal with mixed integer
problems efficiently","['A limitation: In general , MOFPA has to be.']"
"To see how the proposed MOFPA performs for real-world design problems, we
have solved the same problem using other available multi-objective algorithms",['A limitation: To see how the proposed MOFPA performs.']
"For multi-objective optimization, an important issue is how to ensure that the solution
points can distribute relatively uniformly on the Pareto front for test functions","['A limitation: For multi - objective optimization , an.']"
"However, simply generating more solution points may not solve the
Pareto uniformity problem easily","['A limitation: However , simply generating more solution points.']"
"In fact, it is still a challenging problem of how to
maintain a uniform spread on the Pareto front, which requires more study","['A limitation: In fact , it is still a.']"
"It may be
useful as a further research topic to study the combination of the flower algorithm with
other approaches for multi-objective optimization, such as the ǫ-constraint method,
weighted metric methods, Benson’s method, utility methods, and evolutionary methods
[12,15,3]",['A limitation: It may be \r\n useful as a.']
"However, such parameter tuning is itself a tough optimization problem","['A limitation: However , such parameter tuning is itself.']"
"Ideally, there should
be a good way to tune these parameters so that the performance of the algorithm can
be optimal in the sense that the algorithm can find the optimal solution of a problem
using the minimal number of iterations and with the highest accuracy","['A limitation: Ideally , there should \r\n be a.']"
"However, such
tuning of algorithm-dependent parameters is itself a very tough optimization problem","['A limitation: However , such \r\n tuning of algorithm.']"
"In essence, it is a hyperoptimization problem, that is, the optimization of optimization","['A limitation: In essence , it is a hyperoptimization.']"
"In fact, finding the best parameter setting of an algorithm is still an open problem","['A limitation: In fact , finding the best parameter.']"
"2

Algorithm Analysis and Parameter Tuning

An optimization algorithm is essentially an iterative procedure, starting with some initial guess point/solution with an aim to reach a better solution or ideally the optimal
solution to a problem of interest",['A limitation: 2 \r\n\r\n Algorithm Analysis and Parameter Tuning.']
"From a mathematical point of view, an algorithm A tends to generate a new and
better solution xt+1 to a given problem from the current solution xt at iteration or time
t","['A limitation: From a mathematical point of view ,.']"
"1) gives rise to two types of optimality: optimality of a problem
and optimality of an algorithm",['A limitation: 1 ) gives rise to two types.']
"For an optimization problem such as min f (x), there
is a global optimal solution, whatever the algorithmic tool we may use to find this
optimality",['A limitation: For an optimization problem such as min.']
This is the optimality for the optimization problem,['A limitation: This is the optimality for the optimization.']
"On the other hand, for
a given problem  with an objective function f (x), there are many algorithms that can
solve it","['A limitation: On the other hand , for \r\n.']"
"Once we have chosen an algorithm A to solve
a problem , there is an optimal parameter setting for this algorithm so that it can
achieve the best performance",['A limitation: Once we have chosen an algorithm A.']
"This optimality depends on both the algorithm itself and
the problem it solves",['A limitation: This optimality depends on both the algorithm.']
"2)

for a given problem  and a chosen algorithm A(",['A limitation: 2 ) \r\n\r\n for a given problem.']
"That is, for a given
problem, a chosen algorithm with the best parameter setting p∗ , we can still use different
random numbers drawn from various probability distributions and even chaotic maps
so that even better performance may be achieved","['A limitation: That is , for a given \r\n.']"
"Ideally, these parameters should be robust enough for minor parameter changes, random seeds, and even problem instance","['A limitation: Ideally , these parameters should be robust.']"
"1

Framework for Self-Tuning Algorithms
Hyperoptimization

From our earlier observations and discussions, it is clear that parameter tuning is the
process of optimizing the optimization algorithm; therefore, it is a hyperoptimization
problem",['A limitation: 1 \r\n\r\n Framework for Self - Tuning.']
"For a standard unconstrained optimization problem, the aim is to find the global
minimum f ∗ of a function f (x) in a d-dimensional space","['A limitation: For a standard unconstrained optimization problem ,.']"
"4)

Once we choose an algorithm A to solve this optimization problem, the algorithm will
find a minimum solution f min that may be close to the true global minimum f ∗",['A limitation: Once we choose an algorithm A to.']
"Obviously,
the actual tδ will largely depend on both the problem objective f (x) and the parameters
p of the algorithm used","['A limitation: Obviously , \r\n the actual tδ will.']"
"Thus, parameter
tuning as a hyperoptimization problem can be written as
Minimize tδ = A( f (x), p),

(12","['A limitation: Thus , parameter \r\n tuning as a.']"
"2

A Multi-Objective View

If we look at the algorithm tuning process from a different perspective, it is possible to
construct it as a multi-objective optimization problem with two objectives: one objective
f (x) for the problem  and one objective tδ for the algorithm",['A limitation: 2 \r\n\r\n A Multi - Objective View.']
"In principle,
this bi-objective optimization problem (12","['A limitation: In principle , \r\n this bi -.']"
"But because δ is usually given, a natural way
to solve this problem is to use the so-called ǫ-constraint or δ-constraint methods","['A limitation: But because δ is usually given ,.']"
", f (x)) into a constraint,
and thus the problem (12","['A limitation: , f ( x ) ) into.']"
"6) becomes a single-objective optimization problem with a
constraint",['A limitation: 6 ) becomes a single - objective.']
"The important thing is that we still need an algorithm to solve this optimization
problem",['A limitation: The important thing is that we still.']
"However, the main difference from a common single objective problem is
that the present problem contains an algorithm A","['A limitation: However , the main difference from a.']"
"Ideally, an algorithm should be
independent of the problem, which treats the objective to be solved as a black box","['A limitation: Ideally , an algorithm should be \r\n.']"
"However, in reality, an algorithm will be used to solve a
particular problem  with an objective f (x)","['A limitation: However , in reality , an algorithm.']"
"Now a natural question is: Can we solve
this algorithm-tuning problem by the algorithm A itself",['A limitation: Now a natural question is : Can.']
"That is, the
algorithm automatically tunes itself for a given problem objective to be optimized","['A limitation: That is , the \r\n algorithm automatically.']"
"This framework is generic in the sense that any algorithm can be tuned this way and
any problem can be solved within this framework",['A limitation: This framework is generic in the sense.']
", δ = 10−5 );
Algorithm objective tδ (f (x), p, ε);
Problem objective function f (x);
Find the optimality solution fmin within δ;
Output the number of iterations tδ needed to find fmin ;
Solve min tδ (f (x), p) using A(","['A limitation: , δ = 10−5 ) ; \r\n.']"
The best settings for parameters are problem dependent,['A limitation: The best settings for parameters are problem.']
"These results imply the
following:
• The optimal setting of parameters in an algorithm largely depends on the problem,
and there is no unique best setting for all problems",['A limitation: These results imply the \r\n following :.']
"• The relatively large standard deviation of γ means that the actual setting of γ is not
important to a given problem, and therefore there is no need to fine-tune γ",['A limitation: • The relatively large standard deviation of.']
"However, such
parameter tuning is a very tough optimization problem","['A limitation: However , such \r\n parameter tuning is.']"
"In fact, such hyperoptimization
is the optimization of an optimization algorithm, which requires special care because the
optimality depends on both the algorithm to be tuned and the problem to be solved","['A limitation: In fact , such hyperoptimization \r\n is.']"
"It is

182

Nature-Inspired Optimization Algorithms

possible to view this parameter-tuning process as a bi-objective optimization problem;
however, the objectives involve an algorithm, and thus this bi-objective problem is
different from the multi-objective problem in the normal sense",['A limitation: It is \r\n\r\n\x0c 182 \r\n\r\n Nature -.']
"In fact, such constraint-handling techniques can form
important topics of many books and comprehensive review articles [4,6,9,10]","['A limitation: In fact , such constraint - handling.']"
"Since the main aim of this book is to introduce nature-inspired algorithms, we now
briefly introduce the most widely used constraint-handling techniques in this chapter
and provide relevant references",['A limitation: Since the main aim of this book.']
"1

Introduction and Overview

Numerous constraint-handling techniques can be classified in a few ways",['A limitation: 1 \r\n\r\n Introduction and Overview \r\n\r\n Numerous.']
Penalty methods try to convert a constrained optimization problem into an unconstrained one by incorporating its constraints in the revised objective,['A limitation: Penalty methods try to convert a constrained.']
"However, this introduces more parameters into the problem, but if proper values are used, the converted
unconstrained problem can often be solved by many algorithms relatively effectively","['A limitation: However , this introduces more parameters into.']"
"Though the method was competitive, it has difficulty in practical implementations because this method involves nontrivial transformations and a very
high computational cost","['A limitation: Though the method was competitive , it.']"
"Better approaches are to incorporate
the constraints so as to formulate the problem as an unconstrained one, including the
method of Lagrange multipliers and penalty methods",['A limitation: Better approaches are to incorporate \r\n the.']
"Recent methods reflect some new trends in constraint-handling techniques, including feasibility methods, stochastic ranking, novel penalty methods and new special
operator methods, the ǫ-constrained method, the multi-objective approach, and hybrid
or ensemble methods",['A limitation: Recent methods reflect some new trends in.']
The method of Lagrange multipliers converts a constrained problem to an unconstrained one,['A limitation: The method of Lagrange multipliers converts a.']
", M) to reformulate the problem as
the minimization of the following function:
L(x, λ j ) = f (x) +

M

j=1

λ j g j (x)","['A limitation: , M ) to reformulate the problem.']"
"First, we write it as an unconstrained problem using a Lagrange multiplier λ, and we
have
L = u 2/3 v 1/3 + λ(3u + v − 9)","['A limitation: First , we write it as an.']"
"3

KKT Conditions

Let us consider the following generic, nonlinear optimization problem:
Minimize f (x),
x∈ℜd

subject to φi (x) = 0, (i = 1,",['A limitation: 3 \r\n\r\n KKT Conditions \r\n\r\n Let us.']
"11)

The last nonnegative conditions hold for all µ j , though there is no constraint on the
sign of λi",['A limitation: The last nonnegative conditions hold for all.']
"Consequently, the constrained problem with equality
and inequality constraints now essentially becomes a modified constrained problem

How to Deal with Constraints

187

with selected equality constraints","['A limitation: Consequently , the constrained problem with equality.']"
"The main
issue remains to identify which inequality becomes tight, and this depends on the
individual optimization problem",['A limitation: The main \r\n issue remains to identify.']
"4

Penalty Method

For a nonlinear optimization problem with equality and inequality constraints, a common method of incorporating constraints is the penalty method",['A limitation: 4 \r\n\r\n Penalty Method \r\n\r\n For a.']
"For the optimization
problem
Minimize
f (x), x = (x1 ,",['A limitation: For the optimization \r\n problem \r\n Minimize.']
"13)

the idea is to define a penalty function so that the constrained problem is transformed
into an unconstrained problem",['A limitation: 13 ) \r\n\r\n the idea is to.']
"The advantage of this
method is to transform the constrained optimization problem into an unconstrained one",['A limitation: The advantage of this \r\n method is.']
"However,
this introduces more free parameters whose values need to be defined so as to solve the
problem appropriately","['A limitation: However , \r\n this introduces more free.']"
"As we can see, when an equality constraint it met, its effect or contribution to is
zero","['A limitation: As we can see , when an.']"
"However, deciding what values are appropriate may be
problem-specific","['A limitation: However , deciding what values are appropriate.']"
"Furthermore, many traditional constraint-handling techniques now have been combined with evolutionary algorithms, and these approaches themselves also become
evolutionary [15]","['A limitation: Furthermore , many traditional constraint - handling.']"
"This becomes a major trend and constraint handling takes on an
evolutionary approach",['A limitation: This becomes a major trend and constraint.']
"5

Equality with Tolerance

Sometimes it might be easier to change an equality constraint into two inequality
constraints so that we only have to deal with inequalities in the implementation [4,13]",['A limitation: 5 \r\n\r\n Equality with Tolerance \r\n\r\n Sometimes.']
"6

Feasibility Rules and Stochastic Ranking

An effective and yet popular constraint-handling technique in this category was proposed by Deb [4], which is combined with genetic algorithms",['A limitation: 6 \r\n\r\n Feasibility Rules and Stochastic Ranking.']
"• For two infeasible solutions, the one with the lower degree of constraint violation is
chosen first","['A limitation: • For two infeasible solutions , the.']"
"Within this method, the constraint violation is the penalty term, and that is
P(x) =

N

j=1

max 0, ψ j (x)

2

+

M

i=1

|φi (x)|,

(13","['A limitation: Within this method , the constraint violation.']"
"In fact, the feasibility rules can be considered some sort of fitness related to the problem, and fitnessbased evolutionary methods aim to select solutions that are the fittest in the sense that
they are feasible with the lowest objective values (for minimization problems)","['A limitation: In fact , the feasibility rules can.']"
"Feasibility rules can be absolute or relative, and Mezura-Montes and Coello provided a
comprehensive review of this constraint-handling topic [10]",['A limitation: Feasibility rules can be absolute or relative.']
"Another constraint-handling technique is called stochastic ranking (SR), originally
developed by Runarsson and Yao in 2000 [13]",['A limitation: Another constraint - handling technique is called.']
"The
swap conditions between two individuals in the population are based on the sum f constraint violation and their objective function values",['A limitation: The \r\n swap conditions between two individuals.']
"The ǫ-constrained method essentially uses
two parts: the relaxation limits to consider the feasibility of solutions, in terms of
the sum of constraint violation and comparison of objective function values, and a
lexicographical ordering mechanism such that the objective minimization is preceded
by the minimization of constraint violation",['A limitation: The ǫ - constrained method essentially uses.']
"Two sets of solutions x1 and x2 can be
compared and ranked by objective f (x) and constraint violation P(x) as follows:
{ f (x1 ), P(x1 )} ≤ ǫ{ f (x2 ), P(x2 )},

(13",['A limitation: Two sets of solutions x1 and x2.']
"The former is equivalent to the comparison of objective function
values only, and the latter ǫ = 0 provides a lexicographical ordering mechanism where
the objective minimization is preceded by the minimization of the constraint violation",['A limitation: The former is equivalent to the comparison.']
"It should be noted that this ǫ-constrained method should not be confused with the
ǫ-constraint method for multi-objective optimization",['A limitation: It should be noted that this ǫ.']
"All these methods, novel/new penalty methods and other evolutionary decoder methods, can be classified into the evolutionary approach of constraint-handling techniques","['A limitation: All these methods , novel / new.']"
"It seems that the
multi-objective approach to constraint handling tends to do the opposite",['A limitation: It seems that the \r\n multi -.']
"For example, one of the multi-objective approaches to constraint handling was the socalled infeasibility-driven evolutionary algorithm (IDEA) proposed by Ray et al","['A limitation: For example , one of the multi.']"
"This extra
objective measures the constraint violation and the ranking of solutions",['A limitation: This extra \r\n objective measures the constraint.']
"If a constraint
is satisfied by a solution, a zero rank is assigned to that solution for that constraint, and
the total rank of a solution as a measure of the constraint violation is the sum of all the
ranks for all the constraints",['A limitation: If a constraint \r\n is satisfied by.']
"Furthermore, constraints
can be approximated and even dynamic constraint-handling techniques can be used","['A limitation: Furthermore , constraints \r\n can be approximated.']"
"A standard
spring design problem has three design variables: the wire diameter w, the mean coil
diameter D, and the length (or number of coils) L",['A limitation: A standard \r\n spring design problem has.']
"This problem can
be written compactly as
Minimize f (x) = (L + 2)w 2 D,

(13",['A limitation: This problem can \r\n be written compactly.']
"9

Cuckoo Search Implementation

We just formulated the spring design problem using different notations from some
literature",['A limitation: We just formulated the spring design problem.']
"28)

192

Nature-Inspired Optimization Algorithms

Similarly, the first inequality constraint can be rewritten as
g1 (x) = 1 −

x(2)3 ∗ x(3)
≤ 0",['A limitation: 28 ) \r\n\r\n\x0c 192 \r\n\r\n Nature -.']
"Using the pseudo code for the cuckoo search in this book and combining with the
penalty method, we can solve the preceding spring design problem using cuckoo search
in Matlab as follows:

How to Deal with Constraints

193

194

Nature-Inspired Optimization Algorithms

How to Deal with Constraints

195

196

Nature-Inspired Optimization Algorithms

References
[1] Cagnina LC, Esquivel SC, Coello CA","['A limitation: Using the pseudo code for the cuckoo.', 'A limitation: 194 \r\n\r\n Nature - Inspired Optimization Algorithms.']"
An efficient constraint handling method for genetic algorithms,['A limitation: An efficient constraint handling method for genetic.']
"Constraint-handling in evolutionary optimization, studies in computational intelligence, vol","['A limitation: Constraint - handling in evolutionary optimization ,.']"
"Constraint-handling in nature-inspired numerical optimization: past, present and future",['A limitation: Constraint - handling in nature - inspired.']
Constraint-handling in evolutionary optimization,['A limitation: Constraint - handling in evolutionary optimization.']
"In this case, we are dealing with a multi-objective optimization
problem","['A limitation: In this case , we are dealing.']"
"1

Multi-Objective Optimization

The optimization problem with a single objective that we have discussed so far can
be considered a scalar optimization problem because the objective function always
reaches a single global optimal value or a scalar",['A limitation: 1 \r\n\r\n Multi - Objective Optimization \r\n\r\n.']
"Any multi-objective optimization problem can generally be written as
Minimize f (x) = [ f 1 (x), f 2 (x),",['A limitation: Any multi - objective optimization problem can.']
"198

Nature-Inspired Optimization Algorithms

A multi-objective optimization problem, unlike a single-objective optimization problem, does not necessarily have an optimal solution that minimizes all the multi-objective
functions simultaneously",['A limitation: 198 \r\n\r\n Nature - Inspired Optimization Algorithms.']
"Naïvely, some may wonder what happens if we try to optimize each objective individually so that each will achieve the best (the minimum for a minimization problem)","['A limitation: Naïvely , some may wonder what happens.']"
"A point or a solution x∗ ∈ ℜd is called a Pareto-optimal solution or non-inferior solution to the optimization problem if there is no x ∈ ℜd satisfying f i (x) ≤ f i (x∗ ), (i =
1, 2,",['A limitation: A point or a solution x∗ ∈.']
"200

Nature-Inspired Optimization Algorithms

The identification of the Pareto front is not an easy task; it often requires a parametric
analysis, say, by treating all but one objective, say, f i in an M-objective optimization
problem, so that f i is a function of f 1 ,",['A limitation: 200 \r\n\r\n Nature - Inspired Optimization Algorithms.']
"For a minimization problem with two objectives, the basic concepts of the nondominated set, Pareto front, and ideal vectors are shown in Figure 14",['A limitation: For a minimization problem with two objectives.']
"In this case, we essentially reformulate the problem as a scalar optimization problem","['A limitation: In this case , we essentially reformulate.']"
"1 The nondominated set, Pareto front, and ideal vectors in a minimization problem
with two objectives, f 1 and f 2","['A limitation: 1 The nondominated set , Pareto front.']"
"Such higher-level information is typically nontechnical, inaccurate, highly subjective,
and often not part of the optimization problem",['A limitation: Such higher - level information is typically.']
"Multi-objective optimization is usually difficult to solve, partly due to the lack
of efficient tools and partly due to the complexity of this type of problem",['A limitation: Multi - objective optimization is usually difficult.']
"To transform a multi-objective optimization problem into a single objective, we can
often use the method of weighted sum and utility methods",['A limitation: To transform a multi - objective optimization.']
"10)

An issue arises in assigning the weighting coefficients w = (w1 , w2 ,",['A limitation: An issue arises in assigning the weighting.']
"Now the original multi-objective optimization problem has been transformed into
a single-objective optimization problem",['A limitation: Now the original multi - objective optimization.']
"However, there is an important issue here","['A limitation: However , there is an important issue.']"
"The combined weighted sum transforms
the optimization problem into a single objective, which is not necessarily equivalent to
the original multi-objective problem because the extra weighting coefficients could be
arbitrary, whereas the final solutions still depend on these coefficients",['A limitation: The combined weighted sum transforms \r\n the.']
"Furthermore,
there are so many ways to construct the weighted sum function, and there is no easy
guideline to choose which form is the best for a given problem","['A limitation: Furthermore , \r\n there are so many.']"
"Another important issue is that of how to choose the weighting coefficients, since the
solutions depend on these coefficients",['A limitation: Another important issue is that of how.']
"For more complex multi-objective optimization problems, another widely used and
yet more robust method is the ǫ-constraint method",['A limitation: For more complex multi - objective optimization.']
"In reality, the risk preference can vary from person to person and may depend on the
type of problem","['A limitation: In reality , the risk preference can.']"
"For a maximization problem with two objectives f 1 and
f 2 , the idea of the utility contours (indifference curves), the Pareto front, and the Pareto
solution with maximum utility (point A) are shown in Figure 14",['A limitation: For a maximization problem with two objectives.']
"5 Finding the Pareto solution with maximum utility in a maximization problem with
two objectives",['A limitation: 5 Finding the Pareto solution with maximum.']
"We now try to solve the simple two-objective optimization problem:

Maximize f 1 (x, y) = x + y,
(x,y)∈ℜ2

f 2 (x, y) = x,

subject to
x + α y ≤ 5,

x ≥ 0,

y ≥ 0,

where 0 < α < 1",['A limitation: We now try to solve the simple.']
"5

The -Constraint Method

An interesting way of dealing with multi-objective optimization is to write objectives
except one as constraints",['A limitation: 5 \r\n\r\n The \x0f-Constraint Method \r\n\r\n An.']
"Let us try to rewrite the following unconstrained optimization
as a single-objective constrained optimization problem:
Minimize f 1 (x), f 2 (x),",['A limitation: Let us try to rewrite the following.']
7 Slicing the objective domain in the ǫ-constraint method,['A limitation: 7 Slicing the objective domain in the.']
"In principle, the problem can be solved using the standard optimization algorithms
for single-objective optimization","['A limitation: In principle , the problem can be.']"
"For example, in the case of a bi-objective
problem, as shown in Figure 14","['A limitation: For example , in the case of.']"
"7, we take f 2 as the constraint","['A limitation: 7 , we take f 2 as.']"
"This problem becomes
(14",['A limitation: This problem becomes \r\n ( 14.']
"28)

If we use f 1 as the objective and f 2 ≤ ǫ2 as the constraint, we can set ǫ2 ∈ [0, 4]
with 20 different values",['A limitation: If we use f 1 as the.']
"However, if we use f 2 as the objective and f 1 as the
constraint, we follow exactly the same procedure, with the results shown in Figure 14","['A limitation: However , if we use f 2.']"
"8 A true Pareto front and the estimated front when setting f 1 as the objective and f 2
as the constraint",['A limitation: 8 A true Pareto front and the.']
"9 The true Pareto front and the estimated front when setting f 2 as the objective and
f 1 as the constraint",['A limitation: 9 The true Pareto front and the.']
"On the other
hand, if we set ǫ too high, it will be difficult to find the minimum of f 1 even if it exists,
because the number of evaluations for this single-objective optimization problem may
increase","['A limitation: On the other \r\n hand , if.']"
"Otherwise, the solutions obtained may not be the solution to the original problem","['A limitation: Otherwise , the solutions obtained may not.']"
"6

Metaheuristic Approaches

So far, we have seen that finding solutions to a multi-objective optimization problem is
usually difficult, even by the simple weighted sum method and utility function",['A limitation: 6 \r\n\r\n Metaheuristic Approaches \r\n\r\n So far.']
"The main difficulty in extending any single-objective optimization algorithm to
accommodate multiple objectives is that we have to consider the dominance of each
candidate solution set",['A limitation: The main difficulty in extending any single.']
"For a network routing problem, the probability of ants at a particular node i to choose
the route from node i to node j is given by
β

pi j = n

φiαj di j

α β
i, j=1 φi j di j

,

(15","['A limitation: For a network routing problem , the.']"
"In fact,
ant colony optimization and its variants have been successfully applied to the Internet
routing problem, the traveling salesman problem, and other combinatorial optimization
problems","['A limitation: In fact , \r\n ant colony optimization.']"
"The only problem now is to figure out how the ants will move on a
d-dimensional hypersurface",['A limitation: The only problem now is to figure.']
"This problem is similar to the allocation
of Web-hosting servers on the Internet, which was in fact one of the first problems
solved using bee-inspired algorithms by Nakrani and Tovey in 2004 [29]",['A limitation: This problem is similar to the allocation.']
"For a routing problem, the probability of choosing a route between any two nodes can take the form similar to Eq","['A limitation: For a routing problem , the probability.']"
"For a maximization problem, the objective function can be thought of as virtual nectar, whereas
for minimization, the nectar is formulated in such a way that the minimal value of the
objective function corresponds to the highest nectar concentration","['A limitation: For a maximization problem , the objective.']"
"For a mixed type of problem, when the decision variables can take both discrete and
continuous values, the encoding of the objective function into nectar should be carefully
implemented, so it can represent the objective effectively","['A limitation: For a mixed type of problem ,.']"
"In practice, whether a hybrid can really achieve better performance is another
matter, and finding ways to combine different algorithms to develop new algorithms is
still an open problem","['A limitation: In practice , whether a hybrid can.']"
